DOC ID	TYPE	REGO	LEVEL	SPORT	AGE	NATIONALITY	NATIONALITY ISN'T	MANDATORY	USEEXISTING	FROM AGE	FROM AGE	INT_TRANSFER_NEW	INT_LOAN_NEW
5	COACH	NEW	AMATEUR	FOOTBALL	ADULT		|AZ|	0	1	0	0	0	0
2	COACH	RENEWAL	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	COACH	RENEWAL	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
5	COACH	RENEWAL	AMATEUR	FOOTBALL	ADULT	|AZ|		0	1	0	0	0	0
2	COACH	RENEWAL	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	COACH	RENEWAL	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
5	COACH	RENEWAL	AMATEUR	FOOTBALL	ADULT		|AZ|	0	1	0	0	0	0
													
2	REFEREE	NEW		FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	REFEREE	NEW		FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
6	REFEREE	NEW		FOOTBALL	ADULT	|AZ|		0	1	0	0	0	0
2	REFEREE	RENEWAL		FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	REFEREE	RENEWAL		FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
6	REFEREE	RENEWAL		FOOTBALL	ADULT	|AZ|		0	1	0	0	0	0
													
2	REFEREE	NEW		FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	REFEREE	NEW		FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
6	REFEREE	NEW		FOOTBALL	ADULT		|AZ|	0	1	0	0	0	0
2	REFEREE	RENEWAL		FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	REFEREE	RENEWAL		FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
6	REFEREE	RENEWAL		FOOTBALL	ADULT		|AZ|	0	1	0	0	0	0
													
2	COACH	NEW	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
3	COACH	NEW	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	COACH	NEW	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
5	COACH	NEW	PROFESSIONAL	FUTSAL	ADULT	|AZ|		0	1	0	0	0	0
2	COACH	NEW	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
3	COACH	NEW	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	COACH	NEW	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
5	COACH	NEW	PROFESSIONAL	FUTSAL	ADULT		|AZ|	0	1	0	0	0	0
2	COACH	RENEWAL	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
3	COACH	RENEWAL	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	COACH	RENEWAL	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
5	COACH	RENEWAL	PROFESSIONAL	FUTSAL	ADULT	|AZ|		0	1	0	0	0	0
2	COACH	RENEWAL	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
3	COACH	RENEWAL	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	COACH	RENEWAL	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
5	COACH	RENEWAL	PROFESSIONAL	FUTSAL	ADULT		|AZ|	0	1	0	0	0	0
				FUTSAL									
2	COACH	NEW	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	COACH	NEW	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
5	COACH	NEW	AMATEUR	FUTSAL	ADULT	|AZ|		0	1	0	0	0	0
2	COACH	NEW	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	COACH	NEW	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
5	COACH	NEW	AMATEUR	FUTSAL	ADULT		|AZ|	0	1	0	0	0	0
2	COACH	RENEWAL	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	COACH	RENEWAL	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
5	COACH	RENEWAL	AMATEUR	FUTSAL	ADULT	|AZ|		0	1	0	0	0	0
2	COACH	RENEWAL	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	COACH	RENEWAL	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
5	COACH	RENEWAL	AMATEUR	FUTSAL	ADULT		|AZ|	0	1	0	0	0	0
				FUTSAL									
2	REFEREE	NEW		FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	REFEREE	NEW		FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
6	REFEREE	NEW		FUTSAL	ADULT	|AZ|		0	1	0	0	0	0
2	REFEREE	RENEWAL		FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	REFEREE	RENEWAL		FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
6	REFEREE	RENEWAL		FUTSAL	ADULT	|AZ|		0	1	0	0	0	0
													
2	REFEREE	NEW		FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	REFEREE	NEW		FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
6	REFEREE	NEW		FUTSAL	ADULT		|AZ|	0	1	0	0	0	0
2	REFEREE	RENEWAL		FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	REFEREE	RENEWAL		FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
6	REFEREE	RENEWAL		FUTSAL	ADULT		|AZ|	0	1	0	0	0	0
													
													
2	PLAYER	NEW	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
3	PLAYER	NEW	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	NEW	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
3	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
3	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	0	0	0	0	0
1	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	NEW	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
3	PLAYER	NEW	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	NEW	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
2	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
3	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
2	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
3	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	0	0	0	0	0
1	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
2	PLAYER	NEW	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
3	PLAYER	NEW	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	NEW	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
3	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
3	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	0	0	0	0	0
1	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	NEW	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
3	PLAYER	NEW	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	NEW	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
2	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
3	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
2	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
3	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	0	0	0	0	0
1	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
													
2	PLAYER	NEW	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	NEW	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		0	1	0	0	0	0
3	PLAYER	NEW	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
1	PLAYER	NEW	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		0	1	0	0	0	0
3	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	0	0	0	0	0
1	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		0	1	0	0	0	0
3	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	0	0	0	0	0
1	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	NEW	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	NEW	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	0	1	0	0	0	0
3	PLAYER	NEW	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
1	PLAYER	NEW	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	0	1	0	0	0	0
3	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	0	0	0	0	0
1	PLAYER	RENEWAL	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	0	1	0	0	0	0
3	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	0	0	0	0	0
1	PLAYER	TRANSFER	PROFESSIONAL	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	NEW	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	NEW	PROFESSIONAL	FUTSAL	MINOR	|AZ|		0	1	0	0	0	0
3	PLAYER	NEW	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
1	PLAYER	NEW	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	MINOR	|AZ|		0	1	0	0	0	0
3	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	0	0	0	0	0
1	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	MINOR	|AZ|		0	1	0	0	0	0
3	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	0	0	0	0	0
1	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	NEW	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	NEW	PROFESSIONAL	FUTSAL	MINOR		|AZ|	0	1	0	0	0	0
3	PLAYER	NEW	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
1	PLAYER	NEW	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	MINOR		|AZ|	0	1	0	0	0	0
3	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	0	0	0	0	0
1	PLAYER	RENEWAL	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	MINOR		|AZ|	0	1	0	0	0	0
3	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	0	0	0	0	0
1	PLAYER	TRANSFER	PROFESSIONAL	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
													
2	PLAYER	NEW	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	NEW	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
17	PLAYER	NEW	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	RENEWAL	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	RENEWAL	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
17	PLAYER	RENEWAL	AMATEUR	FOOTBALL	ADULT	|AZ|		1	0	0	0	0	0
2	PLAYER	TRANSFER	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	TRANSFER	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
17	PLAYER	TRANSFER	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	NEW	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	NEW	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
17	PLAYER	NEW	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
2	PLAYER	RENEWAL	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	RENEWAL	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
17	PLAYER	RENEWAL	AMATEUR	FOOTBALL	ADULT		|AZ|	1	0	0	0	0	0
2	PLAYER	TRANSFER	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	TRANSFER	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
17	PLAYER	TRANSFER	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
													
2	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR	|AZ|		0	1	0	0	0	0
1	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
21	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
17	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR	|AZ|		0	1	0	0	0	0
1	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR	|AZ|		1	0	0	0	0	0
21	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR	|AZ|		1	0	0	0	0	0
17	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR	|AZ|		1	0	0	0	0	0
2	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR	|AZ|		0	1	0	0	0	0
1	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
21	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
17	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR		|AZ|	0	1	0	0	0	0
1	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
21	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
17	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
31	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
20	PLAYER	NEW	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR		|AZ|	0	1	0	0	0	0
1	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR		|AZ|	1	0	0	0	0	0
21	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR		|AZ|	1	0	0	0	0	0
17	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR		|AZ|	1	0	0	0	0	0
31	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
20	PLAYER	RENEWAL	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR		|AZ|	0	1	0	0	0	0
1	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
21	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
17	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
31	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
20	PLAYER	TRANSFER	AMATEUR	FOOTBALL	MINOR		|AZ|	1	1	0	0	0	0
													
2	PLAYER	NEW	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	NEW	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
17	PLAYER	NEW	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	RENEWAL	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	RENEWAL	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
17	PLAYER	RENEWAL	AMATEUR	FUTSAL	ADULT	|AZ|		1	0	0	0	0	0
2	PLAYER	TRANSFER	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
1	PLAYER	TRANSFER	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
17	PLAYER	TRANSFER	AMATEUR	FUTSAL	ADULT	|AZ|		1	1	0	0	0	0
2	PLAYER	NEW	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	NEW	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
17	PLAYER	NEW	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
2	PLAYER	RENEWAL	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	RENEWAL	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
17	PLAYER	RENEWAL	AMATEUR	FUTSAL	ADULT		|AZ|	1	0	0	0	0	0
2	PLAYER	TRANSFER	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
1	PLAYER	TRANSFER	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
17	PLAYER	TRANSFER	AMATEUR	FUTSAL	ADULT		|AZ|	1	1	0	0	0	0
				FUTSAL									
2	PLAYER	NEW	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	NEW	AMATEUR	FUTSAL	MINOR	|AZ|		0	1	0	0	0	0
1	PLAYER	NEW	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
21	PLAYER	NEW	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
17	PLAYER	NEW	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR	|AZ|		0	1	0	0	0	0
1	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR	|AZ|		1	0	0	0	0	0
21	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR	|AZ|		1	0	0	0	0	0
17	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR	|AZ|		1	0	0	0	0	0
2	PLAYER	TRANSFER	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
7	PLAYER	TRANSFER	AMATEUR	FUTSAL	MINOR	|AZ|		0	1	0	0	0	0
1	PLAYER	TRANSFER	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
21	PLAYER	TRANSFER	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
17	PLAYER	TRANSFER	AMATEUR	FUTSAL	MINOR	|AZ|		1	1	0	0	0	0
2	PLAYER	NEW	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	NEW	AMATEUR	FUTSAL	MINOR		|AZ|	0	1	0	0	0	0
1	PLAYER	NEW	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
21	PLAYER	NEW	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
17	PLAYER	NEW	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
31	PLAYER	NEW	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
20	PLAYER	NEW	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
7	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR		|AZ|	0	1	0	0	0	0
1	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR		|AZ|	1	0	0	0	0	0
21	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR		|AZ|	1	0	0	0	0	0
17	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR		|AZ|	1	0	0	0	0	0
31	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
20	PLAYER	RENEWAL	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
2	PLAYER	TRANSFER	AMATEUR	FUTSAL	MINOR		|AZ|	1	1	0	0	0	0
