"EntityCode","StateName","RegionName","ZoneName","Status","SubType","LocalName","LocalShortName","LocalLanguageCode","LatinName","LatinShortName","FoundationDate","DissolutionDate","Country","WebURL","Fax","Phone","Address1","Address2","PostalCode","Region","State","Email","Discipline","Gender","MAID","RealmApproved","ContactCountry","OrganisationLevel","LegalID","Added"
"FAS000011","","","","ACTIVE","CLUB","Brunei DPMM FC","","1","","Brunei DPMM FC","2000-01-01","","BN","","6732431000","6732430000","Suite 1, 1st Floor Halimatul Saadiah Building","","Gadong BE4119","","","","ALL","ALL","","1","BN","BOTH","",""
"FAS000012","","","","ACTIVE","CLUB","Harimau Muda","","1","","Harimau Muda","2007-10-19","","MY","","60378757984","60378733100","Wisma FAM, Jalan SS5A/9 Kelana Jaya, 47301 Petaling Jaya, Selangor Darul Ehsan Malaysia","","47301 Petaling Jaya","","","","ALL","ALL","","1","MY","BOTH","",""
"FAS000013","","","","ACTIVE","CLUB","Admiralty Football Club","","1","","Admiralty Football Club","1988-04-25","","SG","","","","781 Upper Changi Road Eas","# 02-13","486069","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000014","","","","ACTIVE","CLUB","Eunos Crescent Football Club","","1","","Eunos Crescent Football Club","1975-05-05","","SG","","","","722A Geylang Road","","389633","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000015","","","","ACTIVE","CLUB","Police Sports Association","","1","","Police Sports Association","1963-05-15","","SG","","","","501 Old Choa Chua Kang Rd","Blk 4A  # 01-10","689928","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000016","","","","ACTIVE","CLUB","Singapore Cricket Club","","1","","Singapore Cricket Club","1961-07-10","","SG","","","","Connaught Drive","","179681","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000017","","","","ACTIVE","CLUB","Singapore Khalsa Association","","1","","Singapore Khalsa Association","1931-05-08","","SG","","","","2 Tessensohn Road","","217646","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000018","","","","ACTIVE","CLUB","Singapore Recreation Club","","1","","Singapore Recreation Club","1961-02-06","","SG","","","","B Connaught Drive","","179682","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000019","","","","ACTIVE","CLUB","Sporting Westlake Football Club","","1","","Sporting Westlake Football Club","1974-03-04","","SG","","","","C/o Blk 239 Hougang St 22","# 01-23","530239","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000020","","","","ACTIVE","CLUB","Tiong Bahru Football Club","","1","","Tiong Bahru Football Club","1994-07-18","","SG","","","","101 Upper Cross Street # B1-18C","People's Park Centre","58357","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000021","","","","ACTIVE","CLUB","Bishan Barx Football Club","","1","","Bishan Barx Football Club","2009-10-05","","SG","","","","14 Robinson Road # 13-00","Far East Finance Bldg","48545","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000022","","","","ACTIVE","CLUB","Kaki Bukit Sports Club","","1","","Kaki Bukit Sports Club","1969-08-29","","SG","","","","Blk 387 Tampines St 32","# 06-85","520387","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000023","","","","ACTIVE","CLUB","Katong Football Club","","1","","Katong Football Club","1998-02-06","","SG","","","","291 New Bridge Road # 02-13/16","Oriental Plaza","88756","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000024","","","","ACTIVE","CLUB","Prisons Sports & Recreation Club","","1","","Prisons Sports & Recreation Club","1978-02-04","","SG","","","","289 Jalan Lembah Bedok","","478969","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000025","","","","ACTIVE","CLUB","Sembawang Sports Club","","1","","Sembawang Sports Club","1966-07-09","","SG","","","","Blk 669A Jurong West St 64","# 07-96","641669","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000026","","","","ACTIVE","CLUB","Siglap Constituency Sports Club","","1","","Siglap Constituency Sports Club","1970-01-02","","SG","","","","71 Aida Street","","459980","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000027","","","","ACTIVE","CLUB","Starlight Soccerites Football Club","","1","","Starlight Soccerites Football Club","1988-07-01","","SG","","","","ST Marine Services C/o Chanig Sailing Club","32 Netheravon Rd","508508","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000028","","","","ACTIVE","CLUB","Tampines Vipers Football Club","","1","","Tampines Vipers Football Club","2008-08-02","","SG","","","","135 Sunset Way","# 09-14","597158","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000029","","","","ACTIVE","CLUB","Yishun Sentek Mariners Football Club","","1","","Yishun Sentek Mariners Football Club","2012-07-01","","SG","","","","24 Sam Leong Road","","207915","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000030","","","","ACTIVE","CLUB","Arion Football Academy","","1","","Arion Football Academy","2008-01-28","","SG","","","","51 Borthwick Drive","","559554","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000031","","","","ACTIVE","CLUB","Balestier United Recreation Club","","1","","Balestier United Recreation Club","1947-01-02","","SG","","","","1004 Toa Payoh North # 06-17","","318995","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000032","","","","ACTIVE","CLUB","Civil Service Club","","1","","Civil Service Club","1971-10-25","","SG","","","","60 Tessensohn Road","","217664","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000033","","","","ACTIVE","CLUB","Damai Rovers Football Club","","1","","Damai Rovers Football Club","2003-01-02","","SG","","","","C/o Blk 492 Jurong West St 41","# 03-72","640492","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000034","","","","ACTIVE","CLUB","F-17 Football Club","","1","","F-17 Football Club","2014-01-17","","SG","","","","SAF Tampines, 1A Tampines St 92","# 01-13C","528882","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000035","","","","ACTIVE","CLUB","GFA Victoria Football Club","","1","","GFA Victoria Football Club","2013-10-17","","SG","","","","810 Geylang Road","# 04-13B City Plaza","409286","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000036","","","","ACTIVE","CLUB","Gombak United Football Club","","1","","Gombak United Football Club","1998-02-24","","SG","","","","810 Bukit Batok West Ave 5 # 02-02","Bukit Gombak Sports Hall","659088","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000037","","","","ACTIVE","CLUB","Kembangan United Football Club","","1","","Kembangan United Football Club","2002-01-02","","SG","","","","Blk 41 Circuit Road","# 02-539","370041","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000038","","","","ACTIVE","CLUB","Maju United Football Club","","1","","Maju United Football Club","1997-08-01","","SG","","","","Blk 815 Jellicoe Rd","# 12-12","200815","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000039","","","","ACTIVE","CLUB","NTUC Club","","1","","NTUC Club","1986-10-18","","SG","","","","NTUC Club","1 Pasir Ris Close","519599","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000040","","","","ACTIVE","CLUB","Nanyang Constituency Sports Club","","1","","Nanyang Constituency Sports Club","2007-01-02","","SG","","","","60 Jurong West SWt 91","","649040","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000041","","","","ACTIVE","CLUB","Newton Heath Football Club (Singapore)","","1","","Newton Heath Football Club (Singapore)","2003-01-01","","SG","","","","Blk 585 Woodlands Drive 16","# 10-74","730585","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000042","","","","ACTIVE","CLUB","Ottawa Serpent Football Club","","1","","Ottawa Serpent Football Club","2008-04-01","","SG","","","","Blk 816 Yishun St 81","# 04-708","760816","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000043","","","","ACTIVE","CLUB","Petra Football Club","","1","","Petra Football Club","2012-01-10","","SG","","","","10 Lorng 27A Geylang","Emmanuel House # 02-01","388107","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000044","","","","ACTIVE","CLUB","Pioneer Ayer Rajah Soccerites","","1","","Pioneer Ayer Rajah Soccerites","2012-12-04","","SG","","","","Blk 669A Jurong West St 64","# 07-96","641669","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000045","","","","ACTIVE","CLUB","Singapore Armed Forces Sports Association","","1","","Singapore Armed Forces Sports Association","1968-01-02","","SG","","","","Blk 130 Pasir Laba Rd","# 01-11","637386","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000046","","","","ACTIVE","CLUB","Singapore Chinese Football Club","","1","","Singapore Chinese Football Club","1911-05-20","","SG","","","","291 New Bridge Road # 02-07","Oriental Plaza","88756","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000047","","","","ACTIVE","CLUB","Singapore Government Services Football League","","1","","Singapore Government Services Football League","1954-01-02","","SG","","","","Blk 428 Ang Mo Kio Ave 3","# 03-2642","560428","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000048","","","","ACTIVE","CLUB","Singapore Hotel Association","","1","","Singapore Hotel Association","1961-06-09","","SG","","","","17 Cantonment Road","","89740","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000049","","","","ACTIVE","CLUB","Singapore Power Club","","1","","Singapore Power Club","1999-02-01","","SG","","","","1A Woodleigh Park","","357874","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000050","","","","ACTIVE","CLUB","The Law Society of Singapore","","1","","The Law Society of Singapore","1967-01-02","","SG","","","","39 South Bridge Road","","58673","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000051","","","","ACTIVE","CLUB","Warwick Knights Football Club","","1","","Warwick Knights Football Club","2012-09-20","","SG","","","","Blk 167 Yishun Ring Rd","# 04-757","760167","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000052","","","","ACTIVE","CLUB","Winchester Isla Football Club","","1","","Winchester Isla Football Club","2012-03-31","","SG","","","","Blk 395 Yishun Ring RD","# 02-1705","760395","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000053","","","","ACTIVE","CLUB","Asia Football Group Pte Ltd","","1","","Asia Football Group Pte Ltd","2004-01-02","","SG","","","","1 Orchid Club Rd","# 01-37","769162","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000054","","","","ACTIVE","CLUB","Asia Pacific School of Sports & Business Pte Ltd","","1","","Asia Pacific School of Sports & Business Pte Ltd","2006-01-02","","SG","","","","96D Lorong J Telok Kurau","","425922","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000055","","","","ACTIVE","CLUB","English Football School Pte Ltd","","1","","English Football School Pte Ltd","2013-06-19","","SG","","","","79 Marine Drive","# 05-28","440079","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000056","","","","ACTIVE","CLUB","Little League Pte Ltd","","1","","Little League Pte Ltd","1977-05-26","","SG","","","","2 Kim Chuan Drive # 08-01","CSI Distribution Centre","537080","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000057","","","","ACTIVE","CLUB","PSA Club","","1","","PSA Club","1962-02-15","","SG","","","","No. 3 Bukit Chermin Road","","109918","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000058","","","","ACTIVE","CLUB","Temasek Polytechnic Football Team","","1","","Temasek Polytechnic Football Team","2002-01-01","","SG","","","","Student & Alumni Affairs Dept","Blk 30 # 02-01/02   21 Tampines Ave 1","529757","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000059","","","","ACTIVE","CLUB","X-LEAGUE","","1","","X-LEAGUE","2009-06-14","","SG","","","","Blk 421 Woodlands St 41","# 03-171","730421","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000060","","","","ACTIVE","CLUB","Young Sikh Association (Singapore)","","1","","Young Sikh Association (Singapore)","2003-08-05","","SG","","","","Blk 22 Boon Keng Rd","# 12-21","330022","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000061","","","","ACTIVE","ACADEMY","Junior Centre of Excellence","JCOE","1","","Junior Centre of Excellence","2012-01-02","","SG","","","","100 Tyrwhitt Road # 01-02","","207542","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000062","","","","ACTIVE","ACADEMY","National Football Academy","NFA","1","","National Football Academy","2000-08-13","","SG","","","","100 Tyrwhitt Road # 01-02","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000063","","","","DISSOLVED","CLUB","Admiralty Football Club","","1","","Admiralty Football Club","","2013-12-31","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000064","","","","DISSOLVED","CLUB","Ang Mo Kio United Football Club","","1","","Ang Mo Kio United Football Club","","2013-12-31","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000065","","","","DISSOLVED","CLUB","Beijing Guoan Talent FC","","1","","Beijing Guoan Talent FC","","2009-12-31","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000066","","","","DISSOLVED","CLUB","Borussia Zamrud Football Club","","1","","Borussia Zamrud Football Club","","2013-12-31","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000067","","","","DISSOLVED","CLUB","Etoile Football Club","","1","","Etoile Football Club","","2011-12-31","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000068","","","","DISSOLVED","CLUB","Mountbatten Football Club","","1","","Mountbatten Football Club","","2013-12-31","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000069","","","","DISSOLVED","CLUB","Redhill Rangers Football Club","","1","","Redhill Rangers Football Club","","2013-12-31","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000070","","","","DISSOLVED","CLUB","West United Football Club","","1","","West United Football Club","","","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000071","","","","DISSOLVED","CLUB","Marine Castle United Football Club","","1","","Marine Castle United Football Club","","","SG","","","","","","","","","","ALL","ALL","","1","SG","BOTH","",""
